feature,feature_dissatisfaction,feature_satisfaction
customer service,64.8064215,22.76198697
apple pay,3.185224455,0.490034532
cancel order,5.176968485,0
easy use,0,2.719554464
credit card,3.091475566,0.475611626
payment method,3.333613907,9.630440176
fast delivery,1.551199207,13.96079286
order food,3.560446398,16.91212039
quality food,0,8.399613831
delivery fee,5.256229562,3.942172172
affordable price,0,3.705378301
accept order,1.892365444,0
delightful meal,0,9.435511311
tasty food,0,2.439934492
delivery guy,4.528730197,2.515961221
free delivery,1.484125405,3.710313511
google map,0.885119736,0
contact customer,4.374451886,0
wide variety,0,3.214528341
favorite food,0,8.703424542
receive order,6.290114623,0
restaurant menu,0,13.69568569
restaurant finder,0,1.52637577
open ticket,3.383981191,0
user friendly,0,11.87737473
browse dish,0,5.989625653
late delivery,4.071099926,1.526662472
flexible payment,0,8.347074327
